"","Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State","region"
"54",9,"Ryecoe",2469,0.062,NA,"American IPA",16,"Big Lake Brewing","Holland","MI","Midwest"
"55",10,"G. B. Russo’s Italian Pistachio Pale Ale",2638,0.052,NA,"American Pale Ale (APA)",16,"The Mitten Brewing Company","Grand Rapids","MI","Midwest"
"56",11,"Belfort",2637,0.067,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"57",11,"Star Runner",2636,0.06,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"58",11,"Tart Side of the Barrel",2598,0.098,NA,"American Double / Imperial Stout",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"59",11,"Linnaeus Mango IPA",2597,0.06,NA,"American IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"60",11,"Beasts A'Burnin'",2548,0.07,NA,"Rauchbier",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"61",11,"Verdun",2542,0.077,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"62",11,"Barrel Aged Triomphe",2541,0.065,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"63",11,"Cherry Doppelbock",2504,0.065,NA,"Doppelbock",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"64",11,"Tropical Saison",2500,0.065,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"65",11,"Beach Patrol",2499,0.065,NA,"Witbier",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"66",11,"Nuit Serpent",2498,0.05,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"67",11,"Paris",2481,0.09,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"68",11,"The Grand Army",2476,0.055,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"69",11,"Acidulated Trip",2467,0.059,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"70",11,"Root Stock",2466,0.066,NA,"Rye Beer",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"71",11,"Mind Games",2465,0.041,NA,"Dunkelweizen",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"72",11,"Sous Chef",2433,0.082,NA,"Belgian Strong Pale Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"73",11,"Dubbelicious",2418,0.065,NA,"Dubbel",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"74",11,"Psychopomp",2416,0.062,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"75",11,"Fat Paczki",2382,NA,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"76",11,"Earth-Like Planets",2381,NA,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"77",11,"Ski Patrol",2290,0.061,NA,"Witbier",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"78",11,"Viking Ice Hole",2241,0.063,NA,"Oatmeal Stout",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"79",11,"Rye Porter",2240,0.056,NA,"American Porter",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"80",11,"Wizard Burial Ground",2137,0.099,NA,"Quadrupel (Quad)",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"81",11,"Smoky Wheat",2101,0.051,NA,"Rauchbier",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"82",11,"BRIPA",2092,0.062,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"83",11,"Mela",2091,0.062,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"84",11,"W.I.P.A Snappa",2086,0.053,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"85",11,"Pepper in the Rye",2023,0.063,NA,"Rye Beer",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"86",11,"Moe Lasses'",2006,0.064,NA,"American Stout",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"87",11,"Pumpkin Tart",1997,0.07,NA,"Fruit / Vegetable Beer",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"88",11,"Undertaker",1977,0.067,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"89",11,"Undertaker (2014)",1976,0.067,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"90",11,"Coq D'Or",1974,0.05,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"91",11,"North French",1973,0.06,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"92",11,"Agent a Deux",1959,0.065,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"93",11,"Belgian Wit",1958,0.045,NA,"Witbier",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
